Model,Input_setting,Repeats,Frames_per_repeat,BER_mean,BER_std,Active_BER_mean,Active_BER_std,Masked_MSE_mean,Masked_MSE_std,PAPR_Reduction_dB_mean,PAPR_Reduction_dB_std,Mask_Ratio_mean,Mask_Ratio_std,Training_seconds_observed,Final_training_loss
DNN,full-frame input,3,10000,1.78510638e-03,6.18702771e-04,1.78510638e-03,6.18702771e-04,1.66202540e-01,5.40255028e-03,4.1003,0.0089,3.41788021e-01,3.75810756e-04,0.00,
DNN,masked-only input,3,10000,2.02340426e-03,1.45634684e-03,2.02340426e-03,1.45634684e-03,1.92368168e-01,7.98842144e-03,4.1032,0.0140,3.41786458e-01,5.09809375e-04,111.57,9.71250558e-02
ResNet,full-frame input,3,10000,9.56028369e-04,2.83660460e-04,9.56028369e-04,2.83660460e-04,1.53466335e-01,3.44702119e-03,4.1058,0.0184,3.41382292e-01,6.50995207e-04,0.00,
ResNet,masked-only input,3,10000,1.30709220e-03,5.45960653e-04,1.30709220e-03,5.45960653e-04,1.85593425e-01,5.64308086e-03,4.0988,0.0157,3.41557292e-01,9.96249477e-05,128.48,9.92649658e-02
GatedMLP,full-frame input,3,10000,1.33049645e-03,6.02102598e-04,1.33049645e-03,6.02102598e-04,1.33915451e-01,2.81337577e-03,4.1058,0.0100,3.41416146e-01,2.16694209e-04,0.00,
GatedMLP,masked-only input,3,10000,9.84751773e-03,1.52727722e-02,9.84751773e-03,1.52727722e-02,1.87618237e-01,2.92070931e-02,4.0993,0.0082,3.41480729e-01,6.63325571e-04,116.45,8.48729637e-02
SE-ResNet,full-frame input,3,10000,2.09645390e-03,1.48970411e-03,2.09645390e-03,1.48970411e-03,1.43735091e-01,3.77019314e-03,4.1017,0.0107,3.41285937e-01,4.65656459e-04,0.00,
SE-ResNet,masked-only input,3,10000,2.57588652e-03,2.00786292e-03,2.57588652e-03,2.00786292e-03,1.83712986e-01,5.98204576e-03,4.1139,0.0124,3.41075000e-01,4.59375000e-04,142.86,8.85655268e-02
PolyNet,full-frame input,3,10000,9.04964539e-04,4.04928517e-04,9.04964539e-04,4.04928517e-04,1.18132286e-01,6.73684204e-03,4.1045,0.0059,3.41158333e-01,2.34881397e-04,0.00,
PolyNet,masked-only input,3,10000,1.59503546e-03,6.84605120e-04,1.59503546e-03,6.84605120e-04,1.69967852e-01,1.43061709e-03,4.0967,0.0044,3.41145833e-01,5.62982287e-04,99.20,8.14781599e-02
PolyNet-Volterra,full-frame input,3,10000,4.66666667e-04,3.38754765e-04,4.66666667e-04,3.38754765e-04,9.77074631e-02,1.79742737e-03,4.0940,0.0068,3.41186458e-01,7.06819000e-05,0.00,
PolyNet-Volterra,masked-only input,3,10000,6.99290780e-04,3.57904553e-04,6.99290780e-04,3.57904553e-04,1.55421600e-01,4.79149693e-03,4.1073,0.0084,3.41445833e-01,7.94042658e-04,96.86,7.58866739e-02
