Scenario,Run,Seed,BER,Active_BER,Masked_MSE,PAPR_Reduction_dB,Mask_Ratio
baseline_AWGN,1,13000,3.0585106383e-04,3.0585106383e-04,8.9512204773e-02,4.1025953293e+00,3.4120703125e-01
baseline_AWGN,2,13001,4.7500000000e-03,4.7500000000e-03,1.1545309007e-01,4.0981345177e+00,3.4144921875e-01
baseline_AWGN,3,13002,3.0851063830e-04,3.0851063830e-04,9.3138004580e-02,4.1036307812e+00,3.4177734375e-01
baseline_AWGN,4,13003,6.8617021277e-04,6.8617021277e-04,9.7597065918e-02,4.1088836193e+00,3.4125585938e-01
baseline_AWGN,5,13004,5.1861702128e-04,5.1861702128e-04,9.2582847492e-02,4.1166055202e+00,3.4204101562e-01
higher_Doppler,1,13100,6.4893617021e-04,6.4893617021e-04,9.7189714127e-02,4.1027896404e+00,3.4128515625e-01
higher_Doppler,2,13101,7.2340425532e-04,7.2340425532e-04,1.0201090443e-01,4.0819878578e+00,3.4260156250e-01
higher_Doppler,3,13102,1.1117021277e-03,1.1117021277e-03,9.3573998045e-02,4.0907349586e+00,3.4164257812e-01
higher_Doppler,4,13103,1.2845744681e-03,1.2845744681e-03,1.0362597967e-01,4.0965948105e+00,3.4181640625e-01
higher_Doppler,5,13104,8.7500000000e-04,8.7500000000e-04,9.9586904240e-02,4.0828418732e+00,3.4184375000e-01
extended_delay,1,13200,4.0159574468e-04,4.0159574468e-04,9.5908815435e-02,4.1195406914e+00,3.4149804688e-01
extended_delay,2,13201,6.0106382979e-04,6.0106382979e-04,1.0034518071e-01,4.1039600372e+00,3.4119335938e-01
extended_delay,3,13202,3.9627659574e-04,3.9627659574e-04,9.7325595095e-02,4.1091752052e+00,3.4140039062e-01
extended_delay,4,13203,3.4308510638e-04,3.4308510638e-04,9.5336467087e-02,4.0857334137e+00,3.4137890625e-01
extended_delay,5,13204,3.8829787234e-04,3.8829787234e-04,9.5045126818e-02,4.1123800278e+00,3.4123046875e-01
joint_delay_Doppler,1,13300,1.1861702128e-03,1.1861702128e-03,1.0459354277e-01,4.1134939194e+00,3.4088671875e-01
joint_delay_Doppler,2,13301,8.3244680851e-04,8.3244680851e-04,1.0035251013e-01,4.1061987877e+00,3.4167382813e-01
joint_delay_Doppler,3,13302,2.3776595745e-03,2.3776595745e-03,1.1040453925e-01,4.0996570587e+00,3.4167773437e-01
joint_delay_Doppler,4,13303,5.2925531915e-04,5.2925531915e-04,1.0207815021e-01,4.1129100323e+00,3.4165625000e-01
joint_delay_Doppler,5,13304,1.1117021277e-03,1.1117021277e-03,9.9530263240e-02,4.1216228008e+00,3.4145898437e-01
mild_channel_mismatch,1,13400,1.7872340426e-03,1.7872340426e-03,1.0309946503e-01,4.1047954559e+00,3.4134375000e-01
mild_channel_mismatch,2,13401,1.2313829787e-03,1.2313829787e-03,9.4304523688e-02,4.0984189510e+00,3.4140039062e-01
mild_channel_mismatch,3,13402,2.1542553191e-04,2.1542553191e-04,9.0921351788e-02,4.1070098877e+00,3.4113281250e-01
mild_channel_mismatch,4,13403,4.5212765957e-04,4.5212765957e-04,9.4490382603e-02,4.1097731590e+00,3.4148242187e-01
mild_channel_mismatch,5,13404,3.2180851064e-04,3.2180851064e-04,9.1915860159e-02,4.1073627472e+00,3.4107226562e-01
strong_channel_mismatch,1,13500,4.7074468085e-04,4.7074468085e-04,9.7517108524e-02,4.0943863392e+00,3.4231054688e-01
strong_channel_mismatch,2,13501,3.6170212766e-04,3.6170212766e-04,9.2443257495e-02,4.1014676094e+00,3.4173437500e-01
strong_channel_mismatch,3,13502,1.2898936170e-03,1.2898936170e-03,9.7160826643e-02,4.0966408253e+00,3.4114843750e-01
strong_channel_mismatch,4,13503,2.7925531915e-04,2.7925531915e-04,9.1729267365e-02,4.1124196053e+00,3.4100585937e-01
strong_channel_mismatch,5,13504,3.7473404255e-03,3.7473404255e-03,1.0995718600e-01,4.1088361740e+00,3.4183789062e-01
impulsive_noise,1,13600,7.0611702128e-03,7.0611702128e-03,1.2143917608e-01,4.1065177917e+00,3.4188085938e-01
impulsive_noise,2,13601,1.8726063830e-02,1.8726063830e-02,1.5932922267e-01,4.0968031883e+00,3.4166992188e-01
impulsive_noise,3,13602,1.4609042553e-02,1.4609042553e-02,1.4546680634e-01,4.1280746460e+00,3.4122460937e-01
impulsive_noise,4,13603,8.0478723404e-03,8.0478723404e-03,1.2807879653e-01,4.1018741131e+00,3.4114257812e-01
impulsive_noise,5,13604,7.8750000000e-03,7.8750000000e-03,1.2024731100e-01,4.1073403358e+00,3.4089257813e-01
colored_noise,1,13700,3.1382978723e-04,3.1382978723e-04,9.6575723512e-02,4.0902240276e+00,3.4235351562e-01
colored_noise,2,13701,3.8563829787e-04,3.8563829787e-04,9.2563585528e-02,4.1087107658e+00,3.4141992187e-01
colored_noise,3,13702,2.8537234043e-03,2.8537234043e-03,1.0537670879e-01,4.1054039001e+00,3.4141406250e-01
colored_noise,4,13703,1.6250000000e-03,1.6250000000e-03,1.0451608097e-01,4.1107831001e+00,3.4119140625e-01
colored_noise,5,13704,2.6861702128e-04,2.6861702128e-04,9.0290718437e-02,4.1169474125e+00,3.4145898437e-01
