Run,Seed,Model,Frames,Symbols,Errors,BER,Active_BER,Masked_MSE,PAPR_Reduction_dB,Mask_Ratio
1,9100,DNN,10000,470000,1384,2.9446808511e-03,2.9446808511e-03,1.7290160392e-01,4.080950,0.34138438
1,9100,ResNet,10000,470000,1079,2.2957446809e-03,2.2957446809e-03,1.5689266288e-01,4.080950,0.34138438
1,9100,GatedMLP,10000,470000,899,1.9127659574e-03,1.9127659574e-03,1.4100865889e-01,4.080950,0.34138438
1,9100,SE-ResNet,10000,470000,970,2.0638297872e-03,2.0638297872e-03,1.4791654260e-01,4.080950,0.34138438
1,9100,PolyNet,10000,470000,730,1.5531914894e-03,1.5531914894e-03,1.1612401312e-01,4.080950,0.34138438
1,9100,PolyNet-Volterra,10000,470000,623,1.3255319149e-03,1.3255319149e-03,1.0248216683e-01,4.080950,0.34138438
2,9101,DNN,10000,470000,3117,6.6319148936e-03,6.6319148936e-03,1.8419098876e-01,4.098111,0.34138750
2,9101,ResNet,10000,470000,2843,6.0489361702e-03,6.0489361702e-03,1.6839647267e-01,4.098111,0.34138750
2,9101,GatedMLP,10000,470000,2581,5.4914893617e-03,5.4914893617e-03,1.5248789474e-01,4.098111,0.34138750
2,9101,SE-ResNet,10000,470000,2612,5.5574468085e-03,5.5574468085e-03,1.5947272486e-01,4.098111,0.34138750
2,9101,PolyNet,10000,470000,2334,4.9659574468e-03,4.9659574468e-03,1.2727239299e-01,4.098111,0.34138750
2,9101,PolyNet-Volterra,10000,470000,2141,4.5553191489e-03,4.5553191489e-03,1.1330574139e-01,4.098111,0.34138750
3,9102,DNN,10000,470000,969,2.0617021277e-03,2.0617021277e-03,1.6656859164e-01,4.111783,0.34089687
3,9102,ResNet,10000,470000,747,1.5893617021e-03,1.5893617021e-03,1.5044720031e-01,4.111783,0.34089687
3,9102,GatedMLP,10000,470000,605,1.2872340426e-03,1.2872340426e-03,1.3447153477e-01,4.111783,0.34089687
3,9102,SE-ResNet,10000,470000,649,1.3808510638e-03,1.3808510638e-03,1.4151481343e-01,4.111783,0.34089687
3,9102,PolyNet,10000,470000,486,1.0340425532e-03,1.0340425532e-03,1.1099219245e-01,4.111783,0.34089687
3,9102,PolyNet-Volterra,10000,470000,416,8.8510638298e-04,8.8510638298e-04,9.7808826700e-02,4.111783,0.34089687
4,9103,DNN,10000,470000,758,1.6127659574e-03,1.6127659574e-03,1.6638626190e-01,4.106288,0.34139531
4,9103,ResNet,10000,470000,533,1.1340425532e-03,1.1340425532e-03,1.5024022062e-01,4.106288,0.34139531
4,9103,GatedMLP,10000,470000,393,8.3617021277e-04,8.3617021277e-04,1.3461545918e-01,4.106288,0.34139531
4,9103,SE-ResNet,10000,470000,471,1.0021276596e-03,1.0021276596e-03,1.4158378268e-01,4.106288,0.34139531
4,9103,PolyNet,10000,470000,317,6.7446808511e-04,6.7446808511e-04,1.1091389867e-01,4.106288,0.34139531
4,9103,PolyNet-Volterra,10000,470000,231,4.9148936170e-04,4.9148936170e-04,9.7582972224e-02,4.106288,0.34139531
5,9104,DNN,10000,470000,1436,3.0553191489e-03,3.0553191489e-03,1.7285650367e-01,4.117797,0.34135000
5,9104,ResNet,10000,470000,1166,2.4808510638e-03,2.4808510638e-03,1.5647222469e-01,4.117797,0.34135000
5,9104,GatedMLP,10000,470000,971,2.0659574468e-03,2.0659574468e-03,1.4067559852e-01,4.117797,0.34135000
5,9104,SE-ResNet,10000,470000,1060,2.2553191489e-03,2.2553191489e-03,1.4752499782e-01,4.117797,0.34135000
5,9104,PolyNet,10000,470000,812,1.7276595745e-03,1.7276595745e-03,1.1620483214e-01,4.117797,0.34135000
5,9104,PolyNet-Volterra,10000,470000,713,1.5170212766e-03,1.5170212766e-03,1.0271686360e-01,4.117797,0.34135000
6,9105,DNN,10000,470000,502,1.0680851064e-03,1.0680851064e-03,1.6050173499e-01,4.122760,0.34142969
6,9105,ResNet,10000,470000,340,7.2340425532e-04,7.2340425532e-04,1.4387962698e-01,4.122760,0.34142969
6,9105,GatedMLP,10000,470000,246,5.2340425532e-04,5.2340425532e-04,1.2788840152e-01,4.122760,0.34142969
